"",gene_symbol,GSM2715271,GSM2715272,GSM2715273,GSM2715274,GSM2715275,GSM2715276,GSM2715277,GSM2715278,GSM2715279
ENSG00000006125,AP2B1,1.0301,1.9569,1.9711,0,9.7904,0,23.6048,20.598,15.6809
ENSG00000006128,TAC1,0,0,0,0,0,0,0,0,0
ENSG00000006194,ZNF263,0,3.1056,4.0306,0,14.1538,0,25.3079,18.2478,15.4159
ENSG00000006210,CX3CL1,0,0,0.9882,0,0,0,6.8513,2.9435,2.005
ENSG00000006282,SPATA20,0,0,6.9309,0,0,0,31.4848,6.9234,5.1866
ENSG00000006283,CACNA1G,0,0,0,0,0,0,0,1.9513,0
ENSG00000006327,TNFRSF12A,0.9702,0,42.2832,0.9844,3.0586,0.9741,41.9436,35.464,28.7521
ENSG00000006377,DLX6,0,0,0,0,0,0,0,0,0
ENSG00000006432,MAP3K9,0,1.084,0,0,0.9664,1.0304,0,3.9033,0.9718
ENSG00000006451,RALA,3.0806,0,2.002,0,1.958,0,5.8864,9.8357,4.8791
ENSG00000006453,BAIAP2L1,0,0,15.6512,0,1.9505,0,14.6953,11.813,22.4795
ENSG00000006459,KDM7A,0,0,0,0,0,1.029,0.9704,0,0
ENSG00000006468,ETV1,0,0,0,0,3.9056,0,0,0.9811,0
ENSG00000006530,AGK,0,0,1.9791,1.0107,7.3757,0,7.9649,8.9253,5.0625
ENSG00000006534,ALDH3B1,0,0.993,7.9156,0,0,2.0289,6.8717,2.9499,3.9372
ENSG00000006555,TTC22,0,1.0326,1.984,0,0,0,0,0,0
ENSG00000006576,PHTF2,0,1.0337,5.9547,0,0.9968,0,23.4825,19.7978,7.8844
ENSG00000006606,CCL26,0,0,0,0,0,0,1.045,0,0
ENSG00000006607,FARP2,0,0,2.0135,0,0,0.9661,3.8888,2.0075,1.9299
ENSG00000006611,USH1C,0,0.9715,89.2841,0,0,0.9898,2.0499,9.8674,26.5396
ENSG00000006625,GGCT,1.91,0.9619,7.0269,0,15.2589,2.9634,30.6658,7.0402,12.261
ENSG00000006634,DBF4,0.9548,0,0,0,4.0525,0,4.0138,4.9416,2.0809
ENSG00000006638,TBXA2R,0,1.0433,1.4881,0,0,0,0,0,0
ENSG00000006652,IFRD1,4.0194,0,28.782,1.9524,4.9202,0,138.5366,20.8436,40.2281
ENSG00000006659,LGALS14,0,0,0,0,0,0,1.0409,0,0
ENSG00000006695,COX10,0,0,6.9373,0,2.0373,0,16.7898,3.9316,5.9153
ENSG00000006704,GTF2IRD1,0,5.0718,4.9477,0,0,0,5.8695,0,7.8598
ENSG00000006712,PAF1,1.01,1.0195,2.9799,0,3.9473,1.0073,21.8055,13.8409,5.9098
ENSG00000006715,VPS41,0,0,10.9147,0,0.9772,1.02,20.7137,3.9706,4.9441
ENSG00000006740,ARHGAP44,0,0,0,0,1.0159,0,0,0,0
ENSG00000006744,ELAC2,0,0,5.9431,0,7.9058,0,11.9374,7.8869,9.7548
ENSG00000006747,SCIN,0,0,17.8219,0,0,0,0,0,9.7753
ENSG00000006756,ARSD,0,0,3.4075,0,1.0304,1.2691,0.989,6.9097,0
ENSG00000006757,PNPLA4,1.0234,0,5.9394,0,0,0,9.038,2.004,2.9305
ENSG00000006788,MYH13,0,0,0,0,0,0,0,0,0
ENSG00000006831,ADIPOR2,0,0,2.9612,0,0,0,2.9916,2.9875,0.9698
ENSG00000006837,CDKL3,0,0,0,0,0,0,4.352,2.9975,0
ENSG00000007001,UPP2,0,0,0,0,0,0,0,0,0
ENSG00000007038,PRSS21,0,0,0,0,0,0,0,0,0
ENSG00000007047,MARK4,0,1.0398,0,0,0,0,1.9553,1.1688,1.0417
ENSG00000007062,PROM1,0,1.0191,19.7992,0,7.7908,1.0108,0,39.1985,14.5763
ENSG00000007080,CCDC124,0,0,6.0362,0,5.1343,0,28.8002,13.2204,9.2932
ENSG00000007129,CEACAM21,0,0,0,0,0,0,0,0,0
ENSG00000007168,PAFAH1B1,0,0.9456,12.938,0,3.9385,0,12.0654,7.0084,10.9967
ENSG00000007171,NOS2,0,0,11.8425,0,0,0,0,0,0
ENSG00000007174,DNAH9,0,0,0,1.0052,0,0,0,0,0
ENSG00000007202,KIAA0100,0,0,3.9778,2.0181,0,0.9663,11.0211,5.09,2.8898
ENSG00000007216,SLC13A2,0,0,0,0,0,0,0,0,0
ENSG00000007237,GAS7,0,0,0,0,2.9144,0,9.9149,0,0
ENSG00000007255,TRAPPC6A,0,0.9295,5.0862,0,9.2896,0.9678,21.8586,21.5632,7.285
ENSG00000007264,MATK,0,0,0,0,2.0628,0,0,0,0
ENSG00000007306,CEACAM7,0,0,202.2839,0,0,0,2.3576,0,0
ENSG00000007312,CD79B,0,0,0,0,0,0,1.0136,0,0
ENSG00000007314,SCN4A,0,2.0877,0,0,0,0,0,0,0
ENSG00000007341,ST7L,0.9539,0,1.0162,0,0.9962,1.0061,13.2918,2.9656,2.0845
ENSG00000007350,TKTL1,0,0,0,0,0,0,0,0,0
ENSG00000007372,PAX6,0,0.9748,0,0,0.9688,0,0,0,0
ENSG00000007376,RPUSD1,0,0,1.9974,0,0.9906,0,7.9099,2.0359,0
ENSG00000007384,RHBDF1,0,0,1.9942,0,2.9397,0,15.9288,1.967,3.0278
ENSG00000007392,LUC7L,1.2387,1.9557,3.1236,0,4.9741,1.9942,18.039,20.1587,11.1349
ENSG00000007402,CACNA2D2,0,0,0,0,0,0,0,0,0
